DD/MM/YYYY HH:MM:SS	light(lux)
22/07/2021 10:57:56	5815.178
22/07/2021 11:02:56	582.540
22/07/2021 11:07:56	5.678
22/07/2021 11:12:56	1.136
22/07/2021 11:17:56	1.136
22/07/2021 11:22:56	1.136
22/07/2021 11:27:56	1.136
22/07/2021 11:32:56	1.136
22/07/2021 11:37:56	1.136
22/07/2021 11:42:56	1.136
22/07/2021 11:47:56	1.136
22/07/2021 11:52:56	1.136
22/07/2021 11:57:56	1.136
22/07/2021 12:02:56	1.136
22/07/2021 12:07:56	1.136
22/07/2021 12:12:56	1.136
22/07/2021 12:17:56	1.136
22/07/2021 12:22:56	1.136
22/07/2021 12:27:56	1.136
22/07/2021 12:32:56	1.136
22/07/2021 12:37:56	1.136
22/07/2021 12:42:56	1.136
22/07/2021 12:47:56	1.136
22/07/2021 12:52:56	1.136
22/07/2021 12:57:56	1.136
22/07/2021 13:02:56	1.136
22/07/2021 13:07:56	1.136
22/07/2021 13:12:56	1.136
22/07/2021 13:17:56	1.136
22/07/2021 13:22:56	1.136
22/07/2021 13:27:56	1.136
22/07/2021 13:32:56	1.136
22/07/2021 13:37:56	1.136
22/07/2021 13:42:56	1.136
22/07/2021 13:47:56	1.136
22/07/2021 13:52:56	1.136
22/07/2021 13:57:56	1.136
22/07/2021 14:02:56	1.136
22/07/2021 14:07:56	1.136
22/07/2021 14:12:56	1.136
22/07/2021 14:17:56	1.136
22/07/2021 14:22:56	1.136
22/07/2021 14:27:56	1.136
22/07/2021 14:32:56	1.136
22/07/2021 14:37:56	1.136
22/07/2021 14:42:56	1.136
22/07/2021 14:47:56	1.136
22/07/2021 14:52:56	1.136
22/07/2021 14:57:56	1.136
22/07/2021 15:02:56	1.136
22/07/2021 15:07:56	1.136
22/07/2021 15:12:56	1.136
22/07/2021 15:17:56	1.136
22/07/2021 15:22:56	1.136
22/07/2021 15:27:56	1.136
22/07/2021 15:32:56	1.136
22/07/2021 15:37:56	1.136
22/07/2021 15:42:56	1.136
22/07/2021 15:47:56	1.136
22/07/2021 15:52:56	1.136
22/07/2021 15:57:56	1.136
22/07/2021 16:02:56	1.136
22/07/2021 16:07:56	1.136
22/07/2021 16:12:56	1.136
22/07/2021 16:17:56	1.136
22/07/2021 16:22:56	1.136
22/07/2021 16:27:56	1.136
22/07/2021 16:32:56	1.136
22/07/2021 16:37:56	1.136
22/07/2021 16:42:56	1.136
22/07/2021 16:47:56	1.136
22/07/2021 16:52:56	1.136
22/07/2021 16:57:56	1.136
22/07/2021 17:02:56	1.136
22/07/2021 17:07:56	1.136
22/07/2021 17:12:56	1.136
22/07/2021 17:17:56	1.136
22/07/2021 17:22:56	1.136
22/07/2021 17:27:56	1.136
22/07/2021 17:32:56	1.136
22/07/2021 17:37:56	1.136
22/07/2021 17:42:56	1.136
22/07/2021 17:47:56	1.136
22/07/2021 17:52:56	1.136
22/07/2021 17:57:56	1.136
22/07/2021 18:02:56	1.136
22/07/2021 18:07:56	1.136
22/07/2021 18:12:56	1.136
22/07/2021 18:17:56	1.136
22/07/2021 18:22:56	1.136
22/07/2021 18:27:56	1.136
22/07/2021 18:32:56	1.136
22/07/2021 18:37:56	1.136
22/07/2021 18:42:56	1.136
22/07/2021 18:47:56	1.136
22/07/2021 18:52:56	1.136
22/07/2021 18:57:56	1.136
22/07/2021 19:02:56	1.136
22/07/2021 19:07:56	1.136
22/07/2021 19:12:56	1.136
22/07/2021 19:17:56	1.136
22/07/2021 19:22:56	1.136
22/07/2021 19:27:56	1.136
22/07/2021 19:32:56	1.136
22/07/2021 19:37:56	1.136
22/07/2021 19:42:56	1.136
22/07/2021 19:47:56	1.136
