DD/MM/YYYY HH:MM:SS	light(lux)
23/07/2021 02:34:56	1.136
23/07/2021 02:39:56	1.136
23/07/2021 02:44:56	1.136
23/07/2021 02:49:56	1.136
23/07/2021 02:54:56	1.136
23/07/2021 02:59:56	1.136
23/07/2021 03:04:56	1.136
23/07/2021 03:09:56	1.136
23/07/2021 03:14:56	1.136
23/07/2021 03:19:56	1.136
23/07/2021 03:24:56	1.136
23/07/2021 03:29:56	1.136
23/07/2021 03:34:56	1.136
23/07/2021 03:39:56	1.136
23/07/2021 03:44:56	1.136
23/07/2021 03:49:56	1.136
23/07/2021 03:54:56	1.136
23/07/2021 03:59:56	1.136
23/07/2021 04:04:56	1.136
23/07/2021 04:09:56	1.136
23/07/2021 04:14:56	1.136
23/07/2021 04:19:56	1.136
23/07/2021 04:24:56	1.136
23/07/2021 04:29:56	1.136
23/07/2021 04:34:56	1.136
23/07/2021 04:39:56	1.136
23/07/2021 04:44:56	1.136
23/07/2021 04:49:56	1.136
23/07/2021 04:54:56	1.136
23/07/2021 04:59:56	1.136
23/07/2021 05:04:56	1.136
23/07/2021 05:09:56	1.136
23/07/2021 05:14:56	1.136
23/07/2021 05:19:56	1.136
23/07/2021 05:24:56	1.136
23/07/2021 05:29:56	1.136
23/07/2021 05:34:56	1.136
23/07/2021 05:39:56	1.136
23/07/2021 05:44:56	1.136
23/07/2021 05:49:56	1.136
23/07/2021 05:54:56	1.136
23/07/2021 05:59:56	1.136
23/07/2021 06:04:56	1.136
23/07/2021 06:09:56	1.136
23/07/2021 06:14:56	1.136
23/07/2021 06:19:56	1.136
23/07/2021 06:24:56	1.136
23/07/2021 06:29:56	1.136
23/07/2021 06:34:56	1.136
23/07/2021 06:39:56	1.136
23/07/2021 06:44:56	1.136
23/07/2021 06:49:56	1.136
23/07/2021 06:54:56	1.136
23/07/2021 06:59:56	1.136
23/07/2021 07:04:56	1.136
23/07/2021 07:09:56	1.136
23/07/2021 07:14:56	1.136
23/07/2021 07:19:56	1.136
23/07/2021 07:24:56	1.136
23/07/2021 07:29:56	1.136
23/07/2021 07:34:56	1.136
23/07/2021 07:39:56	1.136
23/07/2021 07:44:56	1.136
